count,label,timestamp,lon,lat,URI,observableURI
17,waste water,1233709620000,-122.811388,37.946111,http://www.c2s2.jhuapl.edu/sdg#waste_water_02032009_2007_-122-811388_37-946111,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablea41446b7-2c24-41a8-97ee-75f0278729df
18,full fertilizer bags,1233717120000,-122.848888,37.038611,http://www.c2s2.jhuapl.edu/sdg#full_fertilizer_bags_02032009_2212_-122-848888_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablef4b352a4-d6d7-4381-b88f-8b71b0ca6114
19,Dustin Jindal,1233669600000,-122.811388,37.945833,http://www.c2s2.jhuapl.edu/sdg#Dustin_Jindal_02032009_0900_-122-811388_37-945833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
20,Mia Kohen,1233669660000,-122.610277,37.100277,http://www.c2s2.jhuapl.edu/sdg#Mia_Kohen_02032009_0901_-122-610277_37-100277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
21,blue car,1233638040000,-122.702222,37.038611,http://www.c2s2.jhuapl.edu/sdg#blue_car_02032009_0014_-122-702222_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
22,detection of vehicle,1233711060000,-122.811388,37.946111,http://www.c2s2.jhuapl.edu/sdg#detection_of_vehicle_02032009_2031_-122-811388_37-946111,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
23,fertilizer,1233690000000,-122.702222,37.900555,http://www.c2s2.jhuapl.edu/sdg#fertilizer_02032009_1440_-122-702222_37-900555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
24,red car,1233640620000,-122.648888,37.915277,http://www.c2s2.jhuapl.edu/sdg#red_car_02032009_0057_-122-648888_37-915277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
25,detection of car,1233677640000,-122.808055,37.914722,http://www.c2s2.jhuapl.edu/sdg#detection_of_car_02032009_1114_-122-808055_37-914722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
26,Umiyom Higuta,1233673200000,-122.739444,37.915,http://www.c2s2.jhuapl.edu/sdg#Umiyom_Higuta_02032009_1000_-122-739444_37-915,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
27,black trash bags,1233683520000,-122.576111,37.038611,http://www.c2s2.jhuapl.edu/sdg#black_trash_bags_02032009_1252_-122-576111_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
28,blue tarp,1233708120000,-122.702777,37.008333,http://www.c2s2.jhuapl.edu/sdg#blue_tarp_02032009_1942_-122-702777_37-008333,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
29,metal jugs,1233682560000,-122.813055,37.901666,http://www.c2s2.jhuapl.edu/sdg#metal_jugs_02032009_1236_-122-813055_37-901666,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
30,red car,1233669360000,-122.648888,37.915277,http://www.c2s2.jhuapl.edu/sdg#red_car_02032009_0856_-122-648888_37-915277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
31,stack of barrels,1233640440000,-122.7025,37.069722,http://www.c2s2.jhuapl.edu/sdg#stack_of_barrels_02032009_0054_-122-7025_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
32,fill container,1233683220000,-122.811388,37.946111,http://www.c2s2.jhuapl.edu/sdg#fill_container_02032009_1247_-122-811388_37-946111,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablecf79d4ee-4565-4e6d-9712-17dce7b8bc74
33,detection of vehicle,1233653460000,-122.811388,37.946111,http://www.c2s2.jhuapl.edu/sdg#detection_of_vehicle_02032009_0431_-122-811388_37-946111,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
34,sheet of tarp,1233653760000,-122.848888,37.914722,http://www.c2s2.jhuapl.edu/sdg#sheet_of_tarp_02032009_0436_-122-848888_37-914722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
35,tracks in soil,1233654120000,-122.703055,37.1025,http://www.c2s2.jhuapl.edu/sdg#tracks_in_soil_02032009_0442_-122-703055_37-1025,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
36,abandoned vehicle,1233649980000,-122.849444,37.038611,http://www.c2s2.jhuapl.edu/sdg#abandoned_vehicle_02032009_0333_-122-849444_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable6b788ddf-e1c7-4652-be8d-be3b7409e0ff
37,box trucks,1233713220000,-122.700833,37.945833,http://www.c2s2.jhuapl.edu/sdg#box_trucks_02032009_2107_-122-700833_37-945833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
38,metal jugs,1233722280000,-122.813055,37.901666,http://www.c2s2.jhuapl.edu/sdg#metal_jugs_02032009_2338_-122-813055_37-901666,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
39,stack of barrels,1233716040000,-122.7025,37.069722,http://www.c2s2.jhuapl.edu/sdg#stack_of_barrels_02032009_2154_-122-7025_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
40,tanker trucks,1233705540000,-122.649722,37.070555,http://www.c2s2.jhuapl.edu/sdg#tanker_trucks_02032009_1859_-122-649722_37-070555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
41,petro-chemical signature,1233660240000,-122.776388,37.900833,http://www.c2s2.jhuapl.edu/sdg#petro-chemical_signature_02032009_0624_-122-776388_37-900833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable84b303c1-97dc-4f55-a293-bfc5c5c9e99b
42,waste water,1233651660000,-122.774722,37.978611,http://www.c2s2.jhuapl.edu/sdg#waste_water_02032009_0401_-122-774722_37-978611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablea41446b7-2c24-41a8-97ee-75f0278729df
43,tracks in soil,1233682860000,-122.703055,37.1025,http://www.c2s2.jhuapl.edu/sdg#tracks_in_soil_02032009_1241_-122-703055_37-1025,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
44,covered materials,1233710340000,-122.849444,37.100555,http://www.c2s2.jhuapl.edu/sdg#covered_materials_02032009_2019_-122-849444_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
45,fertilizer,1233687840000,-122.811666,37.978888,http://www.c2s2.jhuapl.edu/sdg#fertilizer_02032009_1404_-122-811666_37-978888,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
46,covered materials,1233721140000,-122.849444,37.100555,http://www.c2s2.jhuapl.edu/sdg#covered_materials_02032009_2319_-122-849444_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
47,new car in area,1233717540000,-122.739166,37.966666,http://www.c2s2.jhuapl.edu/sdg#new_car_in_area_02032009_2219_-122-739166_37-966666,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
48,heating equipment,1233673080000,-122.739444,37.976666,http://www.c2s2.jhuapl.edu/sdg#heating_equipment_02032009_0958_-122-739444_37-976666,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observabled843c872-4db7-48ff-bb09-ce310b264769
49,AN chemical signature,1233707820000,-122.848055,37.900555,http://www.c2s2.jhuapl.edu/sdg#AN_chemical_signature_02032009_1937_-122-848055_37-900555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3cad2c92-d728-40dc-a3f6-f3a12ba1caba
50,fertilizer,1233720240000,-122.811666,37.978888,http://www.c2s2.jhuapl.edu/sdg#fertilizer_02032009_2304_-122-811666_37-978888,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
51,fill jugs with liquid,1233664140000,-122.775833,37.946388,http://www.c2s2.jhuapl.edu/sdg#fill_jugs_with_liquid_02032009_0729_-122-775833_37-946388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
52,AN chemical signature,1233714900000,-122.848055,37.900555,http://www.c2s2.jhuapl.edu/sdg#AN_chemical_signature_02032009_2135_-122-848055_37-900555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3cad2c92-d728-40dc-a3f6-f3a12ba1caba
53,7 gal black plastic jugs,1233699120000,-122.701388,37.038611,http://www.c2s2.jhuapl.edu/sdg#7_gal_black_plastic_jugs_02032009_1712_-122-701388_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable654f1ee5-f04a-4ec1-b83b-ff7b35291479
54,fill container,1233650580000,-122.848888,37.038611,http://www.c2s2.jhuapl.edu/sdg#fill_container_02032009_0343_-122-848888_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablecf79d4ee-4565-4e6d-9712-17dce7b8bc74
55,cash transaction,1233651480000,-122.774722,37.977222,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_0358_-122-774722_37-977222,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
56,bags of fertilizer,1233665580000,-122.576111,37.038611,http://www.c2s2.jhuapl.edu/sdg#bags_of_fertilizer_02032009_0753_-122-576111_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
57,disturbed soil,1233671340000,-122.738888,37.976388,http://www.c2s2.jhuapl.edu/sdg#disturbed_soil_02032009_0929_-122-738888_37-976388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable07876394-5310-40df-8cf4-581884cec827
58,fertilizer bags,1233652920000,-122.845,37.038333,http://www.c2s2.jhuapl.edu/sdg#fertilizer_bags_02032009_0422_-122-845_37-038333,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
59,abandoned car,1233689160000,-122.576111,37.100277,http://www.c2s2.jhuapl.edu/sdg#abandoned_car_02032009_1426_-122-576111_37-100277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
60,abandoned truck,1233702180000,-122.739722,37.039444,http://www.c2s2.jhuapl.edu/sdg#abandoned_truck_02032009_1803_-122-739722_37-039444,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
61,bags of rubble,1233686040000,-122.702777,37.008333,http://www.c2s2.jhuapl.edu/sdg#bags_of_rubble_02032009_1334_-122-702777_37-008333,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
62,cab,1233695820000,-122.646666,37.900277,http://www.c2s2.jhuapl.edu/sdg#cab_02032009_1617_-122-646666_37-900277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
63,cash transaction,1233640080000,-122.702777,37.946666,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_0048_-122-702777_37-946666,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
64,new vehicle in area,1233638640000,-122.576111,37.114166,http://www.c2s2.jhuapl.edu/sdg#new_vehicle_in_area_02032009_0024_-122-576111_37-114166,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
65,abandoned car,1233714300000,-122.576111,37.100277,http://www.c2s2.jhuapl.edu/sdg#abandoned_car_02032009_2125_-122-576111_37-100277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
66,blue car,1233691320000,-122.738888,37.900277,http://www.c2s2.jhuapl.edu/sdg#blue_car_02032009_1502_-122-738888_37-900277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
67,abandoned car,1233652920000,-122.739166,37.100555,http://www.c2s2.jhuapl.edu/sdg#abandoned_car_02032009_0422_-122-739166_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
68,waste water,1233710220000,-122.612222,37.904722,http://www.c2s2.jhuapl.edu/sdg#waste_water_02032009_2017_-122-612222_37-904722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablea41446b7-2c24-41a8-97ee-75f0278729df
69,large jugs,1233667620000,-122.774722,37.978611,http://www.c2s2.jhuapl.edu/sdg#large_jugs_02032009_0827_-122-774722_37-978611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
70,abandoned car,1233681780000,-122.739166,37.100555,http://www.c2s2.jhuapl.edu/sdg#abandoned_car_02032009_1223_-122-739166_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
71,grinder,1233666720000,-122.6125,37.072222,http://www.c2s2.jhuapl.edu/sdg#grinder_02032009_0812_-122-6125_37-072222,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
72,security perimeter,1233655680000,-122.739444,37.915,http://www.c2s2.jhuapl.edu/sdg#security_perimeter_02032009_0508_-122-739444_37-915,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
73,empty fertilizer bags,1233704160000,-122.739166,37.100555,http://www.c2s2.jhuapl.edu/sdg#empty_fertilizer_bags_02032009_1836_-122-739166_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
74,cash transaction,1233682260000,-122.649444,37.038611,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_1231_-122-649444_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
75,urea signature,1233662280000,-122.776388,37.900833,http://www.c2s2.jhuapl.edu/sdg#urea_signature_02032009_0658_-122-776388_37-900833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
76,empty fertilizer bags,1233711360000,-122.739166,37.100555,http://www.c2s2.jhuapl.edu/sdg#empty_fertilizer_bags_02032009_2036_-122-739166_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
77,empty fertilizer bags,1233678900000,-122.811666,37.100555,http://www.c2s2.jhuapl.edu/sdg#empty_fertilizer_bags_02032009_1135_-122-811666_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
78,large bags of sugar,1233663000000,-122.775833,37.946388,http://www.c2s2.jhuapl.edu/sdg#large_bags_of_sugar_02032009_0710_-122-775833_37-946388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
79,urea signature,1233705480000,-122.776388,37.900833,http://www.c2s2.jhuapl.edu/sdg#urea_signature_02032009_1858_-122-776388_37-900833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
80,fertilizer,1233654960000,-122.703055,37.1025,http://www.c2s2.jhuapl.edu/sdg#fertilizer_02032009_0456_-122-703055_37-1025,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
81,Cash Transaction,1233649380000,-122.603333,37.914444,http://www.c2s2.jhuapl.edu/sdg#Cash_Transaction_02032009_0323_-122-603333_37-914444,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
82,cab,1233662340000,-122.6125,37.901388,http://www.c2s2.jhuapl.edu/sdg#cab_02032009_0659_-122-6125_37-901388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
83,empty fertilizer bags,1233638040000,-122.576388,37.069444,http://www.c2s2.jhuapl.edu/sdg#empty_fertilizer_bags_02032009_0014_-122-576388_37-069444,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
84,abandoned car,1233716700000,-122.776111,37.100555,http://www.c2s2.jhuapl.edu/sdg#abandoned_car_02032009_2205_-122-776111_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
85,stack of lumber,1233672600000,-122.681944,37.069722,http://www.c2s2.jhuapl.edu/sdg#stack_of_lumber_02032009_0950_-122-681944_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
86,large bags of sugar,1233688140000,-122.775833,37.946388,http://www.c2s2.jhuapl.edu/sdg#large_bags_of_sugar_02032009_1409_-122-775833_37-946388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
87,bags of fertilizer,1233688500000,-122.702222,37.900555,http://www.c2s2.jhuapl.edu/sdg#bags_of_fertilizer_02032009_1415_-122-702222_37-900555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
88,empty fertilizer bags,1233713640000,-122.576388,37.069444,http://www.c2s2.jhuapl.edu/sdg#empty_fertilizer_bags_02032009_2114_-122-576388_37-069444,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
89,large bags of sugar,1233702540000,-122.775833,37.946388,http://www.c2s2.jhuapl.edu/sdg#large_bags_of_sugar_02032009_1809_-122-775833_37-946388,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
90,tarp covering materials,1233645960000,-122.811666,37.978888,http://www.c2s2.jhuapl.edu/sdg#tarp_covering_materials_02032009_0226_-122-811666_37-978888,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
91,abandoned car,1233704880000,-122.849444,37.945277,http://www.c2s2.jhuapl.edu/sdg#abandoned_car_02032009_1848_-122-849444_37-945277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
92,abandoned building,1233691680000,-122.648888,37.949166,http://www.c2s2.jhuapl.edu/sdg#abandoned_building_02032009_1508_-122-648888_37-949166,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observablede2cdf88-a7d8-47eb-b148-e9b9b2907490
93,tarp covering materials,1233717960000,-122.811666,37.978888,http://www.c2s2.jhuapl.edu/sdg#tarp_covering_materials_02032009_2226_-122-811666_37-978888,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
94,methane chemical signature,1233644580000,-122.848888,37.038611,http://www.c2s2.jhuapl.edu/sdg#methane_chemical_signature_02032009_0203_-122-848888_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable0c2278cc-891c-441c-b7eb-8d8272d7e9b8
95,methane chemical signature,1233684180000,-122.848888,37.038611,http://www.c2s2.jhuapl.edu/sdg#methane_chemical_signature_02032009_1303_-122-848888_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable0c2278cc-891c-441c-b7eb-8d8272d7e9b8
96,fertilizer bags,1233701340000,-122.849166,37.069722,http://www.c2s2.jhuapl.edu/sdg#fertilizer_bags_02032009_1749_-122-849166_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
97,abandoned car,1233715680000,-122.849444,37.945277,http://www.c2s2.jhuapl.edu/sdg#abandoned_car_02032009_2148_-122-849444_37-945277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
98,pile of rubble,1233686280000,-122.849444,37.100555,http://www.c2s2.jhuapl.edu/sdg#pile_of_rubble_02032009_1338_-122-849444_37-100555,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observableeaa83378-2503-4b47-ac8c-92284ef22b58
99,fertilizer bags,1233712200000,-122.849166,37.069722,http://www.c2s2.jhuapl.edu/sdg#fertilizer_bags_02032009_2050_-122-849166_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
100,fertilizer bags,1233715740000,-122.849166,37.069722,http://www.c2s2.jhuapl.edu/sdg#fertilizer_bags_02032009_2149_-122-849166_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable3623aba7-2821-41fa-82dd-fcf3d2a60854
101,abandoned vehicle,1233691440000,-122.703055,37.069722,http://www.c2s2.jhuapl.edu/sdg#abandoned_vehicle_02032009_1504_-122-703055_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable6b788ddf-e1c7-4652-be8d-be3b7409e0ff
102,abandoned vehicle,1233720240000,-122.703055,37.069722,http://www.c2s2.jhuapl.edu/sdg#abandoned_vehicle_02032009_2304_-122-703055_37-069722,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable6b788ddf-e1c7-4652-be8d-be3b7409e0ff
103,cash transaction,1233721800000,-122.774722,37.135833,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_2330_-122-774722_37-135833,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
104,wheel barrel,1233779760000,-122.848888,37.038611,http://www.c2s2.jhuapl.edu/sdg#wheel_barrel_02042009_1536_-122-848888_37-038611,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable33447b05-aad1-4405-8994-53636c64a23c
105,cash transaction,1233656580000,-122.766666,37.100277,http://www.c2s2.jhuapl.edu/sdg#cash_transaction_02032009_0523_-122-766666_37-100277,http://www.c2s2.jhuapl.edu/2009/04/30/rnrm#observable7b7aae97-16ea-45bd-87df-231f01c42a13
